openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat
De Ruijterkade;149;A;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;87;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122418;487826;4.908.710.954.568;523.773.356.801.821
De Ruijterkade;149;B;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;89;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122416;487826;490.868.158.391.036;523.773.355.614.986
De Ruijterkade;149;C;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;106;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122416;487826;490.868.158.391.036;523.773.355.614.986
De Ruijterkade;150;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;109;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122431;487817;490.890.273.615.492;523.772.555.657.505
De Ruijterkade;151;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie, kantoorfunctie, sportfunctie;1994;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2009;122439;487854;490.901.663.328.088;52.377.588.570.304
De Ruijterkade;152;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2008;122451;487822;490.919.595.789.988;523.773.016.882.084
De Ruijterkade;154;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;8038;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2008;122467;487818;490.943.131.026.434;523.772.666.872.503
Oosterdokskade;1;A;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;winkelfunctie;25;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122.124.767;487.785.839;490.440.866.258.644;523.769.572.626.732
Oosterdokskade;1;;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie;235;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122.130.306;487770.5;490.449.150.429.002;523.768.197.381.563
Oosterdokskade;3;;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie;880;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122175;487744;490.515.043.103.433;523.765.842.484.984
Oosterdokskade;100;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;157;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2005;122557;487630;491.077.113.830.719;523.755.823.994.178
Oosterdokskade;190;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie, kantoorfunctie;732;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2018;122.527.246;487.798.705;491.031.790.595.967;52.377.096.843.573
Oosterdokskade;200;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;690;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2017;122.515.408;487.809.608;491.014.300.793.856;523.771.941.318.856
Prins Hendrikkade;107;;H;1011AJ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;200;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122014;487605;490.279.977.865.865;523.753.253.660.097
Prins Hendrikkade;108;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;108;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;114;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;114;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Houtkopersdwarsstraat;4;;;1011AL;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;150;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1900;121951;486883;490.194.563.656.239;523.688.327.460.147
Houtkopersdwarsstraat;6;;;1011AL;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;winkelfunctie;22;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1900;121956;486881;490.201.924.565.716;523.688.150.722.556
Prins Hendrikkade;120;;;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;507;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122145;487481;49.047.355.910.052;523.742.187.946.953
Prins Hendrikkade;121;;2;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;150;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1675;122150;487476;490.480.950.117.332;523.741.741.573.272
Prins Hendrikkade;121;;H;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie, bijeenkomstfunctie;238;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1675;122150;487476;490.480.950.117.332;523.741.741.573.272
Prins Hendrikkade;122;A;;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;121;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122154;487473;490.486.853.146.896;523.741.474.347.001
Prins Hendrikkade;141;C;;1011AS;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;142;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122244;487390;490.619.820.495.901;5.237.340.686.454
Prins Hendrikkade;141;D;;1011AS;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;159;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122244;487390;490.619.820.495.901;5.237.340.686.454
Prins Hendrikkade;142;;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie, onderwijsfunctie;1165;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122249;487384;490.627.220.974.666;523.733.532.389.438
Prins Hendrikkade;143;A;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;182;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122255;487379;490.636.080.091.646;523.733.086.602.355
Prins Hendrikkade;143;B;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;72;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122255;487379;490.636.080.091.646;523.733.086.602.355
Prins Hendrikkade;146;A;2;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;180;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1651;122.268.508;487.366.065;490.656.041.196.477;523.731.932.147.658
Prins Hendrikkade;146;B;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;159;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1651;122268;487365;490.655.305.623.433;523.731.836.130.068
Prins Hendrikkade;147;;1;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;258;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122274;487362;490.664.145.204.398;523.731.570.086.957
Prins Hendrikkade;147;;H;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;128;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122274;487362;490.664.145.204.398;523.731.570.086.957
Prins Hendrikkade;148;;;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;250;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122277;487359;490.668.579.594.989;52.373.130.225.558
Prins Hendrikkade;149;;1;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;75;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1879;122.282.734;487.355.451;49.067.703.390.914;523.730.986.712.688
Prins Hendrikkade;149;;2;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;43;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1879;122281;487355;490.674.492.107.444;523.730.945.146.815
